snapshot_date,customer_id,predicted_churn_prob,monthly_mrr,mrr_at_risk,primary_risk_driver,base_recommended_action,policy_action_name,action_cost,action_success_rate,expected_mrr_saved,roi_score,priority_rank,selected_for_intervention
2026-05-10,6823-SIDFQ,0.91167837406618335,18.25,16.638130326707845,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1646691228695492,-0.83533087713045084,6696,false
2026-05-10,9764-REAFF,0.90186608798542411,18.4,16.594336018931802,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1616035213252263,-0.83839647867477374,6697,false
2026-05-10,0827-ITJPH,0.90166095967197635,18.55,16.725810801915163,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1708067561340616,-0.8291932438659384,6693,false
2026-05-10,9945-PSVIP,0.9014066903338378,18.7,16.856305109242765,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1799413576469937,-0.8200586423530063,6692,false
2026-05-10,0621-CXBKL,0.90143919878636747,18.7,16.856913017305072,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.179983911211355,-0.820016088788645,6691,false
2026-05-10,9426-SXNHE,0.901408538302376,18.75,16.901410093169549,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1830987065218685,-0.81690129347813145,6688,false
2026-05-10,3387-PLKUI,0.90036055029478779,18.8,16.926778345542012,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1848744841879408,-0.81512551581205916,6685,false
2026-05-10,7473-ZBDSN,0.90083995976925668,18.8,16.935791243662027,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1855053870563421,-0.81449461294365788,6684,false
2026-05-10,8464-EETCQ,0.90124770612933,18.8,16.943456875231405,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1860419812661984,-0.81395801873380158,6683,false
2026-05-10,7369-TRPFD,0.901280261261581,18.8,16.944068911717725,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1860848238202408,-0.81391517617975917,6682,false
2026-05-10,3806-YAZOV,0.90132907604106183,18.8,16.944986629571964,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1861490640700376,-0.81385093592996238,6681,false
2026-05-10,2967-MXRAV,0.90132907604106183,18.8,16.944986629571964,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1861490640700376,-0.81385093592996238,6680,false
2026-05-10,6508-NJYRO,0.91079025952138193,18.8,17.122856879001979,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1985999815301387,-0.80140001846986131,6654,false
2026-05-10,9318-NKNFC,0.6742247968837829,18.85,12.709137421259308,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,0.88963961948815162,-1.1103603805118483,6738,false
2026-05-10,5863-OOKCL,0.89637030452377231,18.85,16.89658024027311,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1827606168191178,-0.81723938318088218,6689,false
2026-05-10,3572-UUHRS,0.90120070694406818,18.85,16.987633325895686,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1891343328126982,-0.8108656671873018,6678,false
2026-05-10,8992-CEUEN,0.90124955675131224,18.85,16.988554144762237,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1891987901333567,-0.81080120986664328,6677,false
2026-05-10,0620-XEFWH,0.90124955675131224,18.85,16.988554144762237,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1891987901333567,-0.81080120986664328,6676,false
2026-05-10,5025-GOOKI,0.9011373928927976,18.9,17.031496725673872,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1922047707971712,-0.80779522920282876,6669,false
2026-05-10,9975-SKRNR,0.90116998040351071,18.9,17.032112629626351,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1922478840738446,-0.80775211592615537,6668,false
2026-05-10,9025-ZRPVR,0.89044127375383209,18.95,16.873862137635118,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1811703496344583,-0.81882965036554167,6690,false
2026-05-10,3719-TDVQB,0.90100880180798748,18.95,17.074116794261361,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1951881755982954,-0.80481182440170462,6666,false
2026-05-10,4635-EJYPD,0.90102511562598153,18.95,17.074425941112349,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1952098158778646,-0.80479018412213543,6664,false
2026-05-10,7469-LKBCI,0.90102511562598153,18.95,17.074425941112349,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1952098158778646,-0.80479018412213543,6665,false
2026-05-10,1386-ZIKUV,0.90109034696804435,18.95,17.075662075044441,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1952963452531109,-0.8047036547468891,6662,false
2026-05-10,7968-QUXNS,0.90109034696804435,18.95,17.075662075044441,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1952963452531109,-0.8047036547468891,6663,false
2026-05-10,1218-VKFPE,0.89959545279904818,19,17.092313603181914,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.196461952222734,-0.803538047777266,6660,false
2026-05-10,2023-VQFDL,0.90094537829435639,19,17.11796218759277,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.198257353131494,-0.801742646868506,6659,false
2026-05-10,1423-BMPBQ,0.90101065641530265,19,17.119202471890752,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1983441730323527,-0.80165582696764726,6655,false
2026-05-10,5222-JCXZT,0.90101065641530265,19,17.119202471890752,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1983441730323527,-0.80165582696764726,6657,false
2026-05-10,0661-KQHNK,0.90101065641530265,19,17.119202471890752,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1983441730323527,-0.80165582696764726,6656,false
2026-05-10,7234-KMNRQ,0.90101065641530265,19,17.119202471890752,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1983441730323527,-0.80165582696764726,6658,false
2026-05-10,9732-OUYRN,0.91056305667560156,19,17.300698076836429,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.2110488653785503,-0.78895113462144972,6614,false
2026-05-10,2005-DWQZJ,0.82398896716816672,19.05,15.696989824553576,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.0987892877187504,-0.9012107122812496,6709,false
2026-05-10,1991-VOPLL,0.89048101429835713,19.05,16.963663322383702,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.1874564325668593,-0.81254356743314071,6679,false
2026-05-10,4774-HHGGS,0.90083290695624929,19.05,17.16086687751655,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.2012606814261586,-0.79873931857384139,6653,false
2026-05-10,9467-ROOLM,0.900865583791615,19.05,17.161489371230267,general_engagement_risk,retention_email_and_checkin,csm_checkin_email,2,0.07,1.2013042559861189,-0.7986957440138811,6652,false
